股票代码,公司名称,报表,项目,报告期,金额
688596,正帆科技,balance_yearly,应收票据,2023-12-31 00:00:00,261404017.8
688596,正帆科技,balance_yearly,预付账款,2023-12-31 00:00:00,154788294.06
688596,正帆科技,balance_yearly,存货,2023-12-31 00:00:00,3376622490.98
688596,正帆科技,balance_yearly,其他应收款,2023-12-31 00:00:00,42815172.35
688596,正帆科技,balance_yearly,流动资产,2023-12-31 00:00:00,6424881965.46
688596,正帆科技,balance_yearly,固定资产,2023-12-31 00:00:00,651897904.89
688596,正帆科技,balance_yearly,无形资产,2023-12-31 00:00:00,161879448.46
688596,正帆科技,balance_yearly,长期待摊费用,2023-12-31 00:00:00,59874808.01
688596,正帆科技,balance_yearly,总资产,2023-12-31 00:00:00,8065228289.12
688596,正帆科技,balance_yearly,短期借款,2023-12-31 00:00:00,255522991.36
688596,正帆科技,balance_yearly,应付票据及应付账款,2023-12-31 00:00:00,1863222979.97
688596,正帆科技,balance_yearly,应付账款,2023-12-31 00:00:00,1383817721.69
688596,正帆科技,balance_yearly,应付票据,2023-12-31 00:00:00,479405258.28
688596,正帆科技,balance_yearly,应付职工薪酬,2023-12-31 00:00:00,96443034.6
688596,正帆科技,balance_yearly,应付税费,2023-12-31 00:00:00,30337057.88
688596,正帆科技,balance_yearly,其他应付款,2023-12-31 00:00:00,20345957.17
688596,正帆科技,balance_yearly,流动负债,2023-12-31 00:00:00,4716115870.55
688596,正帆科技,balance_yearly,租赁负债,2023-12-31 00:00:00,42048201.43
688596,正帆科技,balance_yearly,长期借款,2023-12-31 00:00:00,188312562.65
688596,正帆科技,balance_yearly,长期应付款,2023-12-31 00:00:00,10989140.42
688596,正帆科技,balance_yearly,总负债,2023-12-31 00:00:00,5010697923.35
688596,正帆科技,balance_yearly,实收资本,2023-12-31 00:00:00,280615621.0
688596,正帆科技,balance_yearly,少数股东权益,2023-12-31 00:00:00,52643571.28
688596,正帆科技,cashflow_yearly,销售收款,2013-12-31 00:00:00,348470574.5
